,Región,Consumo de combustible (combinado),Ciudad,Kilometraje,Color Exterior,Transmisión,Vehículo,Combustible,Anho,Precio,Puertas,Litros (motor),Cilindros,Pasajeros
0,Araucanía, km/l,Temuco,235.000 kms,Verde,manual,1997 Subaru LEGACY LX,Bencina,1997,$ 2.400.000,4,,,
1,Metropolitana de Santiago,0 km/l,Peñaflor,311.000 kms,Verde,manual,1998 Subaru LEGACY 2.0 GL,Bencina,1998,$ 1.800.000,4,2,4,5
2,Metropolitana de Santiago,"12,3 km/l",Santiago,,Negro,automático,2013 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2013,$ 8.490.000,4,2.0,4,5
3,Metropolitana de Santiago, km/l,Santiago,117.800 kms,Blanco perlado,automático,2009 Subaru LEGACY LEGACY 2.0R AWD,Bencina,2009,$ 4.800.000,5,,,
4,Metropolitana de Santiago,0 km/l,Isla de Maipo,135.000 kms,,automático,2010 Subaru LEGACY 2.5I 4D AWD CVT LIMITED,Bencina,2010,$ 7.000.000,4,2.5,4,5
5,Metropolitana de Santiago,0 km/l,Santiago,,Blanco ,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT X,Bencina,2010,$ 5.650.000,4,2,4,5
6,Metropolitana de Santiago, km/l,Santiago,280.000 kms,BLANCO,automático,1997 Subaru LEGACY 2.0I GL AT AS,Bencina,1997,$ 1.300.000,5,,,
7,Metropolitana de Santiago,0 km/l,Santiago,57.805 kms,GRIS GRAFITO ME,automático,2010 Subaru LEGACY 2.0I 4P AWD CVT XS,Bencina,2010,$ 7.800.000,4,2,4,5
8,Metropolitana de Santiago, km/l,Santiago,51.000 kms,Blanco,automático,2014 Subaru LEGACY 2.5I 4D CVT X-Edition 4WD,Bencina,2014,$ 11.490.000,4,,,
9,Metropolitana de Santiago, km/l,Santiago,177.000 kms,Plata,automático,2009 Subaru LEGACY 2.0R 4D Auto AWD U,Bencina,2009,$ 5.100.000,4,,,
