,Kilometraje,Precio,Anho,Transmisión,Vehículo,Región,Ciudad,Combustible,Puertas,Color Exterior,Pasajeros,Litros (motor),Consumo de combustible (combinado),Cilindros
0,110.000 kms,$ 8.980.000,2013,automático,2013 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS OSCURO MET,5,2.0,"15,2 km/l",4
1,31.535 kms,$ 14.480.000,2016,automático,2016 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,5,2.0,"13,5 km/l",4
2,200.000 kms,$ 6.150.000,2011,manual,2011 Subaru XV hatchback,Metropolitana de Santiago,Santiago,Bencina,5,blanco ,,, km/l,
3,56.200 kms,$ 11.500.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
4,86.000 kms,$ 10.480.000,2014,automático,2014 Subaru XV 2.0i CVT Limited E 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro,5,2.0,"13,5 km/l",4
5,49.000 kms,$ 12.470.000,2016,automático,2016 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro,5,2.0,"13,5 km/l",4
6,117.000 kms,$ 6.980.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,Gris oscuro,5,2.0,"14,5 km/l",4
7,38.027 kms,$ 13.890.000,2016,automático,2016 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Azul Oscuro,5,2.0,"13,5 km/l",4
8,81.000 kms,$ 7.890.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Metropolitana de Santiago,Santiago,Bencina,5,Grafito,5,2.0,"15,2 km/l",4
9,28.000 kms,$ 10.800.000,2016,manual,2016 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,1.6,"15,9 km/l",4
10,80.000 kms,$ 8.890.000,2014,automático,2014 Subaru XV AWD 2.0 CVT AUTOMATICO ,Metropolitana de Santiago,Santiago,Bencina,5,PLATEADO,,, km/l,
11,71.000 kms,$ 8.780.000,2015,manual,2015 Subaru XV 1.6i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS,5,1.6,"15,9 km/l",4
12,85.000 kms,$ 9.470.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,5,2.0,"15,2 km/l",4
13,31.535 kms,$ 14.480.000,2017,automático,2017 Subaru XV 1.6i CVT Auto 4WD,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,5,1.6,"15,9 km/l",4
14,27.100 kms,$ 11.900.000,2015,automático,2015 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Verde jazmin,5,2.0,"13,5 km/l",4
15,38.600 kms,$ 11.500.000,2015,automático,2015 Subaru XV 2.0i CVT 4WD,Bío Bío,Chillán,Bencina,5,,5,2.0,"13,5 km/l",4
16,38.000 kms,$ 12.900.000,2016,automático,2016 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,blanco perla,5,2.0,"13,5 km/l",4
17,79.000 kms,$ 8.800.000,2014,manual,2014 Subaru XV 2.0I AWD MT,Metropolitana de Santiago,Santiago,Bencina,5,Gris Oscuro ,,, km/l,
18,33.500 kms,$ 11.300.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,,, km/l,
19,56.000 kms,$ 10.900.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Bío Bío,Concepcion,Bencina,5,GRIS PLATA,5,2.0,"15,2 km/l",4
20,120.000 kms,$ 6.800.000,2011,manual,2011 Subaru XV XV 20R AWD AT,Bío Bío,Concepcion,Bencina,5,BLANCO SATIN,,, km/l,
21,40.000 kms,$ 10.890.000,2016,automático,2016 Subaru XV 2.0i CVT 4WD,Los Lagos,Osorno,Bencina,5,BLANCO,5,2.0,"13,5 km/l",4
22,113.000 kms,$ 8.690.000,2012,automático,2012 Subaru XV 2.0 i CVT ,Bío Bío,Concepcion,Bencina,5,negro,,, km/l,
23,,$ 8.480.000,2013,manual,2013 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS PLATA,5,2.0,"14,5 km/l",4
24,,$ 9.480.000,2014,automático,2014 Subaru XV 2.0i CVT 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS PLATA,5,2.0,"15,2 km/l",4
25,50.000 kms,$ 9.500.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"15,2 km/l",4
26,120.000 kms,$ 6.800.000,2011,automático,2011 Subaru XV LIMITED AT,Metropolitana de Santiago,Santiago,Bencina,5,PLATA,,, km/l,
27,43.000 kms,$ 7.980.000,2012,automático,2012 Subaru XV 2.0i AWD solo 43.000kms 1dueño,Metropolitana de Santiago,Santiago,Bencina,0,Plateado ,,, km/l,
28,86.500 kms,$ 10.590.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Araucanía,Temuco,Bencina,5,Blanco Perlado,,, km/l,
29,40.000 kms,$ 9.800.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"14,5 km/l",4
30,100.000 kms,$ 6.000.000,2010,automático,2010 Subaru XV LIMITED ,Metropolitana de Santiago,Santiago,Bencina,5,,,, km/l,
31,45.000 kms,$ 10.790.000,2015,manual,2015 Subaru XV 2.0i 4WD,Metropolitana de Santiago,Melipilla,Bencina,5,Gris oscuro,5,2.0,"13,2 km/l",4
32,54.300 kms,$ 7.890.500,2011,automático,2011 Subaru XV 2.0I AWD AT,Metropolitana de Santiago,Santiago,Bencina,4,blanco,,, km/l,
33,94.000 kms,$ 5.790.000,2011,automático,2011 Subaru XV XV 2.0R AWD,Metropolitana de Santiago,Santiago,Bencina,5,Gris Plata,,, km/l,
34,98.000 kms,$ 8.250.000,2012,automático,2012 Subaru XV 2.0i CVT Limited AWD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS GRAFITO,5,2.0,"15,2 km/l",4
35,11.010 kms,$ 12.980.000,2016,manual,2016 Subaru XV AWD 2.0 I MEC FULL,Metropolitana de Santiago,Santiago,Bencina,5,ROJO VENECIA PE,,, km/l,
36,86.000 kms,$ 9.800.000,2013,automático,2013 Subaru XV 2.0i CVT Limited 4WD,Los Lagos,Osorno,Bencina,5,Gris,5,2.0,"15,2 km/l",4
37,67.000 kms,$ 8.900.000,2012,automático,2012 Subaru XV 2.0i CVT AWD,Valparaíso,Viña del Mar,Bencina,5,Blanco nacarado,5,2.0,"15,2 km/l",4
38,42.000 kms,$ 11.900.000,2015,manual,2015 Subaru XV 2.0i 4WD,Araucanía,Temuco,Bencina,5,verde jazmin ,5,2.0,"13,2 km/l",4
39,93.000 kms,$ 7.100.000,2012,automático,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,Negro,,, km/l,
40,18.500 kms,$ 10.700.000,2016,manual,2016 Subaru XV 2.0D 4WD,Metropolitana de Santiago,Santiago,Diesel (petróleo),5,Plateado hielo claro,5,2.0,"17,5 km/l",4
41,107.000 kms,$ 8.980.000,2014,manual,2014 Subaru XV 2.0i 4WD,Los Lagos,Puerto Varas,Bencina,5,Gris Metalico,5,2.0,"14,5 km/l",4
42,15.000 kms,$ 14.190.000,2017,automático,2017 Subaru XV 2.0i CVT Active 4WD,Metropolitana de Santiago,Santiago,Bencina,5,,5,2.0,"13,2 km/l",4
43,9.100 kms,$ 15.000.000,2017,automático,2017 Subaru XV 2.0i CVT Limited Active 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Plata,5,2.0,"13,5 km/l",4
44,10.000 kms,$ 13.450.000,2017,automático,2017 Subaru XV 1.6i CVT Auto 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS GRAFITO ,5,1.6,"15,9 km/l",4
45,92.000 kms,$ 7.390.000,2011,manual,2011 Subaru XV 2.0R AWD XV,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,,, km/l,
46,80.000 kms,$ 7.600.000,2011,automático,2011 Subaru XV 2.0R AWD AUT 8 AIRBAG,Metropolitana de Santiago,Santiago,Bencina,5,Gris oscuro,,, km/l,
47,65.000 kms,$ 11.600.000,2014,automático,2014 Subaru XV 2.0i CVT Limited 4WD,Metropolitana de Santiago,Santiago,Bencina,5,Blanco Perlado,,, km/l,
48,11.000 kms,$ 12.990.000,2017,manual,2017 Subaru XV 2.0i Manual 4WD,Bío Bío,Chillán,Bencina,5,gris plata,5,2.0,"13,2 km/l",4
49,,$ 12.980.000,2015,automático,2015 Subaru XV 2.0i CVT Dynamic 4WD,Metropolitana de Santiago,Santiago,Bencina,5,GRIS METÁLICO,5,2.0,"13,5 km/l",4
50,19.000 kms,$ 12.500.000,2018,automático,2018 Subaru XV 1.6i CVT Auto 4WD,Valparaíso,Viña del Mar,Bencina,5,NARANJO,5,1.6,"15,2 km/l",4
51,54.000 kms,$ 9.990.000,2014,automático,2014 Subaru XV 2.0i CVT Dynamic E 4WD,Coquimbo,La Serena,Bencina,5,GRIS PIEDRA,5,2.0,"13,5 km/l",4
52,59.000 kms,$ 7.890.000,2012,manual,2012 Subaru XV 2.0i AWD,Metropolitana de Santiago,Santiago,Bencina,5,BLANCO,5,2.0,"14,5 km/l",4
