,Pasajeros,Puertas,Kilometraje,Combustible,Transmisión,Anho,Región,Consumo de combustible (combinado),Precio,Litros (motor),Vehículo,Ciudad,Cilindros,Color Exterior
0,5,4,70.000 kms,Bencina,manual,2007,Metropolitana de Santiago,0 km/l,$ 4.900.000,1.6,2007 Toyota COROLLA 1.6 XLI MT,Santiago,4,
1,,5,90.000 kms,Bencina,manual,2013,Bío Bío, km/l,$ 6.790.000,,2013 Toyota COROLLA 1.6 XLI AC,Chillán,,
2,5,4,80.965 kms,Bencina,manual,2014,Maule,0 km/l,$ 5.480.000,1.6,2014 Toyota COROLLA 1.6 XLI,Linares,4,Gris oscuro
3,5,4,127.000 kms,Bencina,manual,2012,Valparaíso,0 km/l,$ 6.200.000,1.6,2012 Toyota COROLLA 1.6 GLI,Concón,4,
4,5,5,167.000 kms,Bencina,manual,2005,Araucanía,0 km/l,$ 4.100.000,1.6,2005 Toyota COROLLA 1.6 VVT-i Sport,Temuco,4,Plata
5,,4,135.000 kms,Bencina,automático,2007,Metropolitana de Santiago, km/l,$ 3.990.000,,2007 Toyota COROLLA XEI 1.8,Santiago,,PLATEADO SILVER
6,,5,245.000 kms,Bencina,manual,2006,Metropolitana de Santiago, km/l,$ 3.800.000,,2006 Toyota COROLLA 1.6 VVT-i Sport,Santiago,,GRIS
7,5,4,193.000 kms,Bencina,manual,2005,Coquimbo,0 km/l,$ 3.600.000,1.6,2005 Toyota COROLLA 1.6 VVT-i XLi,Ovalle,4,BEIGE METALICO
8,5,4,71.000 kms,Bencina,manual,2014,Bío Bío,0 km/l,$ 7.300.000,1.6,2014 Toyota COROLLA 1.6 GLI,Los Angeles,4,Plata
9,5,4,134.000 kms,Bencina,automático,2005,Metropolitana de Santiago,0 km/l,$ 3.480.000,1.6,2005 Toyota COROLLA 1.6 VVT-i XLi Auto,Santiago,4,plateado metali
10,5,4,92.000 kms,Bencina,manual,2013,Bío Bío,0 km/l,$ 5.990.000,1.6,2013 Toyota COROLLA 1.6 XLI,Concepcion,4,Gris
11,,4,148.000 kms,Bencina,manual,2011,Bío Bío, km/l,$ 5.490.000,,2011 Toyota COROLLA 1.6 GLI,Concepcion,,Blanco
12,,5,90.000 kms,Bencina,manual,2011,Bío Bío, km/l,$ 5.800.000,,2011 Toyota COROLLA 1.6 XLI,Cabrero,,
13,5,4,134.000 kms,Bencina,automático,2008,Metropolitana de Santiago,0 km/l,$ 4.600.000,1.8,2008 Toyota COROLLA 1.8 XEI AUTO LUJO,Santiago,4,GRIS GRAFITO
14,5,4,104 kms,Bencina,automático,2012,Bío Bío,0 km/l,$ 6.500.000,1.6,2012 Toyota COROLLA 1.6 GLI Auto,Concepcion,4,
15,5,4,52.000 kms,Bencina,manual,2014,Bío Bío,0 km/l,$ 8.000.000,1.6,2014 Toyota COROLLA 1.6 GLI,Chillán,4,
16,5,5,210.000 kms,Bencina,manual,2006,Metropolitana de Santiago,0 km/l,$ 3.400.000,1.6,2006 Toyota COROLLA 1.6 VVT-i Sport,Santiago,4,Gris Oscuro
17,,4,100 kms,Bencina,automático,2011,Metropolitana de Santiago, km/l,$ 5.300.000,,2011 Toyota COROLLA 1.6 GLI,Santiago,,Gris grafito
18,5,5,179.000 kms,Bencina,automático,2005,Valparaíso,0 km/l,$ 3.900.000,1.6,2005 Toyota COROLLA 1.6 VVT-i SPort,Quillota,4,
19,5,4,180.000 kms,Bencina,manual,2006,Metropolitana de Santiago,0 km/l,$ 4.150.000,1.8,2006 Toyota COROLLA 1.8 XEi MT,Santiago,4,Blanco
20,,4,87.000 kms,Bencina,automático,2011,Metropolitana de Santiago, km/l,$ 5.890.000,,2011 Toyota COROLLA 1.6 GLI Auto,Santiago,,Rojo mica
21,5,4,115.000 kms,Bencina,automático,2011,Maule,0 km/l,$ 5.850.000,1.6,2011 Toyota COROLLA 1.6 GLI Auto,Curico,4,blanco
22,5,4,89.830 kms,Bencina,manual,2008,Valparaíso,0 km/l,$ 4.390.000,1.6,2008 Toyota COROLLA 1.6 XLI,Viña del Mar,4,PLATA
