,Consumo de combustible (combinado),Puertas,Kilometraje,Transmisión,Combustible,Cilindros,Pasajeros,Litros (motor),Ciudad,Precio,Vehículo,Anho,Color Exterior,Región
0,25 km/l,5,64.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.290.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Premier,2014,Blanco,Metropolitana de Santiago
1,25 km/l,5,80.000 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.590.000,2016 Peugeot 2008 1.6 e-HDI 92 HP Allure,2016,GRIS,Metropolitana de Santiago
2,25 km/l,5,69.000 kms,manual,Diesel (petróleo),4,5,1.6,Coronel,$ 9.500.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Allure,2015,Plomo,Bío Bío
3,25 km/l,5,,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 9.990.000,2015 Peugeot 2008 1.6 e-HDI 92 HP Active,2015,Blanco,Metropolitana de Santiago
4,"25,1 km/l",5,,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 11.690.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allure,2017,Rojo,Metropolitana de Santiago
5, km/l,5,1 kms,manual,Diesel (petróleo),,,,Santiago,$ 9.590.000,2016 Peugeot 2008 ALLYRE HDI 1.6CC MT FULL,2016,GRIS,Metropolitana de Santiago
6, km/l,5,64.000 kms,automático,Diesel (petróleo),,,,Santiago,$ 10.200.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,Blanco,Metropolitana de Santiago
7,25 km/l,5,50.000 kms,manual,Diesel (petróleo),4,5,1.6,Concepcion,$ 10.800.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure,2014,Chocolate,Bío Bío
8,"26,3 km/l",5,112.592 kms,manual,Diesel (petróleo),4,5,1.6,Chillán,$ 9.350.000,2014 Peugeot 2008 1.6 e-HDI 92 HP Allure CMP,2014,GRIS PLATEADO,Bío Bío
9,"25,1 km/l",5,10.500 kms,manual,Diesel (petróleo),4,5,1.6,Santiago,$ 12.400.000,2018 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allure,2018,Gris,Metropolitana de Santiago
10, km/l,5,40.000 kms,automático,Bencina,,,,Santiago,$ 8.000.000,2012 Peugeot 2008 full,2012,negro ,Metropolitana de Santiago
11, km/l,5,36.471 kms,manual,Diesel (petróleo),,,,Santiago,$ 11.690.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allu,2017,ROJO BURDEO ,Metropolitana de Santiago
12, km/l,5,31.600 kms,manual,Diesel (petróleo),,,,Viña del Mar,$ 11.990.000,2017 Peugeot 2008 1.6 BlueHDI 100 HP Manual Allu,2017,ROJO,Valparaíso
